SYMBOL,SERIES,QTY_TRADED,DELIV_QTY,DELIV_PCT
0SCL27,YW,2.0,1.0,50.0
1003ISFL28,N4,732.0,732.0,100.0
1003SCL30A,NV,164.0,0.0,0.0
1015ECL29,NR,2248.0,2056.0,91.46
1015SCL28A,AL,2.0,2.0,100.0
1015UCL26,N1,35.0,35.0,100.0
1018GS2026,GS,6760.0,5750.0,85.06
1025SCL34A,ZT,100.0,100.0,100.0
1025SCL34B,N1,1405.0,1405.0,100.0
1025UCL26A,N1,52.0,52.0,100.0
1030SFIL26,NJ,57.0,57.0,100.0
1040NFL26,NA,13.0,13.0,100.0
1050NFL26,N7,64.0,64.0,100.0
105IIFL29,N7,90.0,90.0,100.0
1060ECL29,NS,175.0,175.0,100.0
1065NFL27,NC,1000.0,1000.0,100.0
10IIFL28A,NE,638.0,638.0,100.0
10IIFL29,N6,351.0,351.0,100.0
10NIDO26,N6,18.0,18.0,100.0
10UCL26,ND,20.0,20.0,100.0
1119NFL27,ND,22.0,22.0,100.0
118VCCL27B,N0,10.0,10.0,100.0
11UCL26,NC,173.0,173.0,100.0
12AFIL27,N0,3.0,3.0,100.0
12AFIL28,N0,9.0,9.0,100.0
12VCCL29B,N0,1.0,1.0,100.0
182D090426,TB,100.0,100.0,100.0
20MICRONS,EQ,60289.0,38113.0,63.22
21STCENMGM,EQ,2330.0,1468.0,63.0
360ONE,EQ,587485.0,312983.0,53.28
364D061125,TB,74400.0,74400.0,100.0
364D120326,TB,200.0,100.0,50.0
364D150126,TB,100.0,100.0,100.0
3IINFOLTD,EQ,1603459.0,747665.0,46.63
3MINDIA,EQ,5604.0,4221.0,75.32
3PLAND,EQ,5787.0,4592.0,79.35
563GS2026,GS,95.0,95.0,100.0
574GS2026,GS,100.0,100.0,100.0
577GS2030,GS,2000.0,2000.0,100.0
579GS2030,GS,2000.0,2000.0,100.0
585GS2030,GS,2000.0,2000.0,100.0
5PAISA,EQ,40486.0,21443.0,52.96
619GS2034,GS,1685.0,1685.0,100.0
63MOONS,EQ,57617.0,33298.0,57.79
654GS2032,GS,10095.0,10095.0,100.0
664GS2027,GS,200.0,200.0,100.0
667GS2050,GS,25.0,25.0,100.0
668GS2040,GS,200.0,200.0,100.0
676GS2061,GS,15.0,14.0,93.33
679GS2031,GS,3024.0,2878.0,95.17
68GS2060,GS,5.0,4.0,80.0
690GS2065,GS,75539.0,73100.0,96.77
695GS2061,GS,10006.0,10006.0,100.0
698GR2054,GS,4.0,4.0,100.0
699GS2026,GS,195.0,195.0,100.0
699GS2051,GS,501.0,501.0,100.0
706GS2028,GS,2499.0,2499.0,100.0
706GS2046,GS,550.0,550.0,100.0
709GS2054,GS,25450.0,25450.0,100.0
