SYMBOL,today_deliv_pct,prev_deliv_pct,change_deliv_pct,date_today,date_prev
ARENTERP,88.9,23.91,64.99000000000001,2025-10-31,2025-10-30
SENSEXADD,91.93,29.6,62.330000000000005,2025-10-31,2025-10-30
ISFT,84.86,27.56,57.3,2025-10-31,2025-10-30
PANSARI,96.28,43.38,52.9,2025-10-31,2025-10-30
NIFITETF,69.21,17.59,51.61999999999999,2025-10-31,2025-10-30
WIPL,65.88,14.45,51.42999999999999,2025-10-31,2025-10-30
CENTURYPLY,80.95,30.42,50.53,2025-10-31,2025-10-30
ICRA,92.92,44.15,48.77,2025-10-31,2025-10-30
GROWWLOVOL,88.01,39.33,48.68000000000001,2025-10-31,2025-10-30
DBOL,74.58,26.69,47.89,2025-10-31,2025-10-30
